participant,age,female,vignette,stem,condition,medium,severity,wrt
27,19,1,9,3,bullying,online,3,2
27,19,1,10,4,bullying,online,4,3
27,19,1,11,5,bullying,online,4,2
27,19,1,12,6,bullying,online,4,3
27,19,1,13,1,harassment,offline,5,3
27,19,1,14,2,harassment,offline,5,5
27,19,1,15,3,harassment,offline,5,4
27,19,1,16,4,harassment,offline,5,5
27,19,1,17,5,harassment,offline,5,5
27,19,1,18,6,harassment,offline,5,5
27,19,1,19,1,harassment,online,4,5
27,19,1,20,2,harassment,online,5,4
27,19,1,21,3,harassment,online,3,4
27,19,1,22,4,harassment,online,4,4
27,19,1,23,5,harassment,online,5,5
27,19,1,24,6,harassment,online,3,4
28,18,1,1,1,bullying,offline,4,4
28,18,1,2,2,bullying,offline,1,3
28,18,1,3,3,bullying,offline,3,2
28,18,1,4,4,bullying,offline,4,4
28,18,1,5,5,bullying,offline,2,3
28,18,1,6,6,bullying,offline,2,2
28,18,1,7,1,bullying,online,3,4
28,18,1,8,2,bullying,online,3,4
28,18,1,9,3,bullying,online,3,3
28,18,1,10,4,bullying,online,3,4
28,18,1,11,5,bullying,online,3,3
28,18,1,12,6,bullying,online,3,3
28,18,1,13,1,harassment,offline,4,4
28,18,1,14,2,harassment,offline,4,5
28,18,1,15,3,harassment,offline,4,5
28,18,1,16,4,harassment,offline,4,4
28,18,1,17,5,harassment,offline,3,4
28,18,1,18,6,harassment,offline,4,4
28,18,1,19,1,harassment,online,4,5
28,18,1,20,2,harassment,online,4,5
28,18,1,21,3,harassment,online,4,5
28,18,1,22,4,harassment,online,3,5
28,18,1,23,5,harassment,online,4,5
28,18,1,24,6,harassment,online,5,5
29,19,1,1,1,bullying,offline,5,5
29,19,1,2,2,bullying,offline,5,5
